Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	File Offset (s)
63	Spectrogram 1	1	208.188445419	208.393137877	0.000	9168.600	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	42.5837
64	Spectrogram 1	1	209.394404596	209.594164705	0.000	9130.700	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	43.7897
65	Spectrogram 1	1	210.597897598	210.800123881	0.000	15078.900	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	44.9932
66	Spectrogram 1	1	211.798924462	211.996218397	0.000	15116.800	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	46.1942
67	Spectrogram 1	1	215.991420612	216.188714547	0.000	4205.400	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	50.3867
68	Spectrogram 1	1	217.194913614	217.389741375	0.000	4205.400	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	51.5902
69	Spectrogram 1	1	218.391008130	218.595700587	0.000	12123.700	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	52.7863
70	Spectrogram 1	1	219.599433481	219.791795067	0.000	12085.800	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	53.9947
71	Spectrogram 1	1	220.793061786	220.995288069	0.000	20042.000	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	55.1883
72	Spectrogram 1	1	222.001487136	222.188916374	0.000	20117.800	4CH004I_Dec5_FieldRecordings_5mTake1.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH004I_Dec5_FieldRecordings_5mTake1.wav	56.3968
73	Spectrogram 1	1	256.855926813	257.048288399	0.000	1098.700	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	25.5649
74	Spectrogram 1	1	258.056953641	258.246849053	0.000	1212.400	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	26.7659
75	Spectrogram 1	1	259.253048157	259.445409743	0.000	3144.600	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	27.9620
76	Spectrogram 1	1	260.451608810	260.648902745	0.000	3220.400	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	29.1605
77	Spectrogram 1	1	261.645237116	261.854861921	0.000	5114.700	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	30.3542
78	Spectrogram 1	1	262.853662265	263.046023852	0.000	5076.800	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	31.5626
79	Spectrogram 1	1	267.053556938	267.243452350	0.000	2121.600	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	35.7625
80	Spectrogram 1	1	268.254583766	268.446945352	0.000	2045.900	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	36.9635
81	Spectrogram 1	1	269.448211871	269.650438154	0.000	6251.300	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	38.1571
82	Spectrogram 1	1	270.651704873	270.851464982	0.000	6175.500	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	39.3606
83	Spectrogram 1	1	271.845333215	272.054958020	0.000	10077.800	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	40.5543
84	Spectrogram 1	1	273.051292391	273.246120151	0.000	10115.700	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	41.7602
85	Spectrogram 1	1	277.253653238	277.450947172	0.000	3144.600	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	45.9626
86	Spectrogram 1	1	278.447281579	278.647041688	0.000	3144.600	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	47.1562
87	Spectrogram 1	1	279.645842233	279.850534690	0.000	9054.900	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	48.3548
88	Spectrogram 1	1	280.851801409	281.051561518	0.000	9168.600	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	49.5607
89	Spectrogram 1	1	282.047895925	282.250122208	0.000	15116.800	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	50.7568
90	Spectrogram 1	1	283.248922753	283.448682862	0.000	15116.800	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	51.9578
91	Spectrogram 1	1	287.446351051	287.648577334	0.000	4205.400	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	56.1553
92	Spectrogram 1	1	288.644911705	288.847137988	0.000	4243.300	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	57.3539
93	Spectrogram 1	1	289.858269404	290.048164816	0.000	12237.400	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	58.5672
94	Spectrogram 1	1	291.042033048	291.254124028	0.000	12161.600	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	59.7510
95	Spectrogram 1	1	292.257856921	292.452684682	0.000	20117.800	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	60.9668
96	Spectrogram 1	1	293.453951401	293.648779162	0.000	20155.700	4CH005I_Dec5_FieldRecordings_5mTake2.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH005I_Dec5_FieldRecordings_5mTake2.wav	62.1629
97	Spectrogram 1	1	327.442881994	327.630311232	3030.900	5076.800	4CH007I_Dec5_FieldRecordings_Xm.wav	/home/m/Dropbox/Projects/fine_acoustic_features_zebra_finch/data/raw/SchroederFiles_Try1/4CH007I_Dec5_FieldRecordings_Xm.wav	29.7195
