Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Time 95% (s)	Time 5% (s)	Sample Length (samples)	Peak Time (s)	Peak Freq Contour (Hz)	Peak Freq (Hz)	Min Time (s)	Max Time (s)	Max Freq (Hz)	Length (frames)	IQR Dur (s)	Freq 95% (Hz)	Freq 5% (Hz)	Dur 90% (s)	Delta Time (s)	Center Time (s)	Delta Freq (Hz)	BW 90% (Hz)	Q3 Time (s)	Q1 Time Rel.	Q1 Time (s)	Q1 Freq (Hz)	Q3 Freq (Hz)	Q3 Time Rel.	Agg Entropy (bits)	Avg Entropy (bits)	Avg Power (dB)	Begin File	Center Freq (Hz)	Delta Power (dB)	Energy (dB)	Freq Contour  5% (Hz)	Freq Contour 25% (Hz)	Freq Contour 50% (Hz)	Freq Contour 75% (Hz)	Freq Contour 95% (Hz)	IQR BW (Hz)	Max Entropy (bits)	Min Entropy (bits)	Peak Amp (U)	PFC Avg Slope (Hz/ms)	PFC Max Freq (Hz)	PFC Max Slope (Hz/ms)	PFC Min Freq (Hz)	PFC Min Slope (Hz/ms)	PFC Num Inf Pts	PFC Slope (Hz/ms)	Q1 Freq Rel.	Q3 Freq Rel.	Avg Amp (u)	Begin Path	Center Time Rel.	File Offset (s)	F-RMS Amp (U)	Freq 5% Rel.	Freq 95% Rel.	Inband Power (dB)	Leq (dB)	Max Amp (U)	Max Bearing (deg)	Max Power (dB)	Min Amp (U)	Peak Corr (U)	Peak Lag (s)	Peak Power (dB)	Peak Time Relative	RMS Amp (U)	SEL (dB)	Time 5% Rel.	Time 95% Rel.	Fundamental	NumberOfComponents	SchroederDirection
12	Spectrogram 1	1	16.200472307	16.399775734	0.0000	10248.4207	16.3840	16.2163	9732	16.2267	6008.1328;8392.3125;2002.7109;2002.7109;2002.7109;2002.7109;4005.4219;4005.4219;4005.4219;6008.1328;8392.3125;8392.3125;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;4005.4219;4005.4219;6008.1328;8392.3125;8392.3125;2002.7109;2002.7109;2002.7109;2002.7109;2002.7109;4005.4219;4005.4219;4005.4219;8392.3125;8392.3125;8392.3125;2002.7109;2002.7109;2002.7109;4005.4219;4005.4219	2002.7109		16.2267	2002.7	39	0.1	9632.1	762.9	0.2	0.199	16.300	10248.4	8869.1	16.3	0.2632	16.3	2765.6	7629.4	0.7368	5.898	5.937	140.0	SchroederCallsTest4_3Nov2022.wav	5245.1953		173.2544	762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375;762.9375	2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2765.6484;2861.0156	5149.8281;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5245.1953;5149.8281;5245.1953;5722.0312	7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;7629.3750;8010.8438	9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9632.0859;9727.4531	4863.7266	6.5645	5.8889		-10.3239	8392.3125	836.7308	2002.7109	-1218.7167	8.000	454.7450;-1218.7167;0.0000;0.0000;0.0000;381.9858;0.0000;0.0000;381.9858;454.7450;0.0000;-1218.7167;0.0000;0.0000;0.0000;0.0000;381.9858;0.0000;381.9858;454.7450;0.0000;-1218.7167;0.0000;0.0000;0.0000;0.0000;381.9858;0.0000;0.0000;836.7308;0.0000;0.0000;-1218.7167;0.0000;0.0000;381.9858;0.0000	0.2710	0.7477		C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav	0.500	16.200		0.0748	0.9439	133.2614				145.0248				145.0248	0.1316			0.0789	0.9211	400	25	neg
12	Waveform 1	1	16.200472307	16.399775734	0.0000	10248.4207			9732	16.3446			16.3446	16.3522		9732					0.199		10248.4											SchroederCallsTest4_3Nov2022.wav												8388608.0										-132.8	C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav		16.200	4663001.2				133.4	7602688.0			-8388608.0				0.7232	4663004.8	126.4			400	25	neg
13	Spectrogram 1	1	20.400481879	20.599656748	0.0000	3351.6743	20.5836	20.4158	9726	20.4368	1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;2384.1797	1811.9766		20.4368	1812.0	38	0.1	3051.8	572.2	0.2	0.199	20.500	3351.7	2479.5	20.5	0.2432	20.5	1144.4	2479.5	0.7297	3.578	3.605	144.7	SchroederCallsTest4_3Nov2022.wav	1811.9766		173.0322	572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031	1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062	1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766	2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469	3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500	1335.1406	4.3742	3.5690		3.0316	2384.1797	109.1388	1811.9766	0.0000	0.000	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;109.1388	0.3429	0.7429		C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav	0.486	20.400		0.1714	0.9143	133.1520				151.6861				151.6861	0.1622			0.0541	0.9189	600	5	pos
13	Waveform 1	1	20.400481879	20.599656748	0.0000	3351.6743			9726	20.4189			20.4189	20.4291		9726					0.199		3351.7											SchroederCallsTest4_3Nov2022.wav												8388608.0										-147.4	C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav		20.400	4546784.6				133.2	6768128.0			-8388608.0				0.0925	4546789.0	126.1			600	5	pos
14	Spectrogram 1	1	21.600530888	21.799705757	0.0000	3351.6743	21.7842	21.6164	9726	21.6584	1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766	1811.9766		21.6584	1812.0	38	0.1	3051.8	572.2	0.2	0.199	21.700	3351.7	2479.5	21.7	0.2703	21.7	1144.4	2479.5	0.7568	3.578	3.606	144.7	SchroederCallsTest4_3Nov2022.wav	1811.9766		173.0321	572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031;572.2031	1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062	1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766;1811.9766	2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469	3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500;3051.7500	1335.1406	4.4007	3.5690		0.0000	1811.9766	0.0000	1811.9766	0.0000	0.000	0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000	0.3429	0.7429		C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav	0.514	21.601		0.1714	0.9143	133.1518				151.6861				151.6861	0.2973			0.0811	0.9459	600	5	neg
14	Waveform 1	1	21.600530888	21.799705757	0.0000	3351.6743			9726	21.6162			21.6162	21.6194		9726					0.199		3351.7											SchroederCallsTest4_3Nov2022.wav												8388608.0										-145.3	C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav		21.601	4546784.8				133.2	6768128.0			-8388608.0				0.0789	4546789.2	126.1			600	5	neg
15	Spectrogram 1	1	22.800415463	22.999767125	0.0000	9338.5826	22.9848	22.8171	9734	22.8852	4196.1562;4196.1562;4196.1562;4196.1562;8392.3125;8392.3125;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;8392.3125;8392.3125;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;8392.3125;8392.3125;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;8392.3125;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;8392.3125;4196.1562;4196.1562;4196.1562;4196.1562	4196.1562		22.8852	4196.2	38	0.1	8964.5	667.6	0.2	0.199	22.901	9338.6	8296.9	22.9	0.2703	22.9	2479.5	7152.5	0.7568	5.164	5.188	140.3	SchroederCallsTest4_3Nov2022.wav	4768.3594		173.0407	667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703	2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469	4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594	7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391	8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156	4672.9922	5.8668	5.1557		0.0000	8392.3125	800.3512	4196.1562	-800.3512	9.000	0.0000;0.0000;0.0000;800.3512;0.0000;-800.3512;0.0000;0.0000;0.0000;0.0000;800.3512;0.0000;-800.3512;0.0000;0.0000;0.0000;0.0000;800.3512;0.0000;-800.3512;0.0000;0.0000;0.0000;0.0000;800.3512;-800.3512;0.0000;0.0000;0.0000;0.0000;0.0000;800.3512;-800.3512;0.0000;0.0000;0.0000	0.2680	0.7732		C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav	0.514	22.800		0.0722	0.9691	133.1605				147.0019				147.0019	0.4324			0.0811	0.9459	600	15	pos
15	Waveform 1	1	22.800415463	22.999767125	0.0000	9338.5826			9734	22.8430			22.8430	22.8271		9734					0.199		9338.6											SchroederCallsTest4_3Nov2022.wav												8388608.0										-129.7	C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav		22.800	4549090.4				133.2	7269376.0			-8388608.0				0.2137	4549091.6	126.2			600	15	pos
16	Spectrogram 1	1	24.000429841	24.199749358	0.0000	9338.5826	24.1855	24.0177	9733	24.1383	4196.1562;8392.3125;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;8392.3125;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;8392.3125;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;8392.3125;8392.3125;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;8392.3125;8392.3125;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;8392.3125	4196.1562		24.1383	4196.2	38	0.1	8964.5	667.6	0.2	0.199	24.102	9338.6	8296.9	24.1	0.2703	24.1	2479.5	7152.5	0.7568	5.164	5.186	140.3	SchroederCallsTest4_3Nov2022.wav	4768.3594		173.0415	667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703;667.5703	2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469;2479.5469	4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594;4768.3594	7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391;7152.5391	8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156;8964.5156	4672.9922	5.7578	5.1557		22.2320	8392.3125	800.3512	4196.1562	-800.3512	10.000	800.3512;-800.3512;0.0000;0.0000;0.0000;0.0000;0.0000;800.3512;-800.3512;0.0000;0.0000;0.0000;0.0000;0.0000;800.3512;-800.3512;0.0000;0.0000;0.0000;0.0000;800.3512;0.0000;-800.3512;0.0000;0.0000;0.0000;0.0000;800.3512;0.0000;-800.3512;0.0000;0.0000;0.0000;0.0000;0.0000;800.3512	0.2680	0.7732		C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav	0.514	24.000		0.0722	0.9691	133.1613				147.0019				147.0019	0.7027			0.0811	0.9459	600	15	neg
16	Waveform 1	1	24.000429841	24.199749358	0.0000	9338.5826			9733	24.0405			24.0405	24.0564		9733					0.199		9338.6											SchroederCallsTest4_3Nov2022.wav												8388608.0										-131.6	C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav		24.000	4549323.9				133.2	7269376.0			-8388608.0				0.2011	4549325.0	126.2			600	15	neg
17	Spectrogram 1	1	25.200442981	25.399842849	0.0000	15356.6991	25.3861	25.2183	9736	25.3127	14400.4453;14400.4453;10204.2891;10204.2891;4196.1562;14400.4453;14400.4453;14400.4453;10204.2891;10204.2891;4196.1562;4196.1562;14400.4453;14400.4453;14400.4453;10204.2891;10204.2891;4196.1562;4196.1562;14400.4453;14400.4453;14400.4453;10204.2891;10204.2891;4196.1562;4196.1562;14400.4453;14400.4453;14400.4453;10204.2891;10204.2891;4196.1562;4196.1562;14400.4453;14400.4453;10204.2891;10204.2891	14400.4453		25.3127	14400.4	38	0.1	14400.4	1144.4	0.2	0.199	25.302	15356.7	13256.0	25.3	0.2703	25.3	4196.2	11444.1	0.7568	5.902	5.922	138.4	SchroederCallsTest4_3Nov2022.wav	7820.1094		173.2564	1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062;1144.4062	4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562;4196.1562	7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094;7820.1094	11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625;11444.0625	14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453;14400.4453	7247.9062	6.4060	5.8929		-22.2320	14400.4453	1946.3087	4196.1562	-1145.9575	10.000	0.0000;-800.3512;0.0000;-1145.9575;1946.3087;0.0000;0.0000;-800.3512;0.0000;-1145.9575;0.0000;1946.3087;0.0000;0.0000;-800.3512;0.0000;-1145.9575;0.0000;1946.3087;0.0000;0.0000;-800.3512;0.0000;-1145.9575;0.0000;1946.3087;0.0000;0.0000;-800.3512;0.0000;-1145.9575;0.0000;1946.3087;0.0000;-800.3512;0.0000	0.2733	0.7453		C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav	0.514	25.200		0.0745	0.9379	133.3762				145.0083				145.0083	0.5676			0.0811	0.9459	600	25	pos
17	Waveform 1	1	25.200442981	25.399842849	0.0000	15356.6991			9736	25.2821			25.2821	25.2771		9736					0.199		15356.7											SchroederCallsTest4_3Nov2022.wav												8388608.0										-128.1	C:\Users\Karan\Dropbox\acoustic_fine_features_zebra_finch\data\raw\SchroederCallsTest4_3Nov2022.wav		25.200	4662009.5				133.4	7602176.0			-8388608.0				0.4095	4662251.2	126.4			600	25	pos
